date,1 (low bm),2,3,4,5,6,7,8,9,10 (high bm)
20011031,0.049701,0.054722,0.024315,0.09675,0.040349,0.007697,0.004941,0.008443,0.019661,0.009937
20011130,0.101225,0.088487,0.05485,0.083327,0.018886,0.315098,0.11287,0.059254,-0.033696,0.003425
20011231,0.042324,0.019734,0.038919,0.074107,0.091146,0.007292,0.113653,0.087878,0.066109,-0.018704
20020131,-0.034976,-0.042518,0.021315,-0.013021,-0.015316,-0.014234,0.070679,-0.007414,0.031477,0.016768
20020228,0.067156,0.0868,-0.000437,-0.007635,0.061367,0.028491,0.017239,0.069109,0.057151,-0.020679
20020331,0.063705,0.082668,0.04497,0.096255,0.045781,0.080388,0.125419,0.062291,0.076417,0.097719
20020430,-0.130955,0.003368,-0.045126,-0.049674,-0.021632,0.026707,-0.005194,-0.027902,0.086783,0.017353
20020531,-0.084347,0.001487,0.039508,-0.024128,-0.02705,-0.002519,-0.052753,0.012534,-0.019237,0.004481
20020630,-0.069514,-0.037922,-0.093051,-0.105697,-0.043376,-0.113446,-0.096066,-0.122721,-0.044604,-0.082279
20020731,-0.001412,-0.053681,-0.101008,-0.06409,-0.076656,-0.029297,-0.028704,-0.065599,0.005186,-0.063278
20020831,-0.006834,0.005603,0.003371,0.00527,-0.032784,-0.039559,-0.061432,-0.120449,-0.036366,-0.0273
20020930,-0.092157,-0.124717,-0.142899,-0.126446,-0.161503,-0.137764,-0.135978,-0.155463,-0.126723,-0.100914
20021031,0.085595,-0.029366,0.074479,0.082952,0.083014,0.0278,0.13853,0.208586,0.003899,-0.04546
20021130,0.08342,0.004805,0.079775,0.046141,0.085381,0.001556,0.110579,0.04237,0.059739,0.018762
20021231,-0.145664,0.075986,-0.067057,-0.004129,-0.092478,-0.007129,-0.186058,0.060496,0.039757,-0.102667
20030131,-0.120725,-0.072774,-0.057072,-0.051014,-0.050292,0.02885,-0.007213,-0.028728,0.087634,0.069296
20030228,-0.095019,0.013576,-0.069564,-0.019029,-0.075271,-0.13565,-0.083113,-0.018991,-0.100064,-0.027341
20030331,0.001345,0.022818,0.055635,-0.035212,0.029525,0.048034,0.075232,0.004932,0.039407,-0.006438
20030430,0.084522,0.021694,0.102629,0.190465,0.10394,0.24219,0.239293,0.120816,0.046436,0.110647
20030531,0.032663,0.094631,0.04635,0.088433,0.047093,0.080071,0.05179,0.03419,0.187207,0.120855
20030630,0.056975,0.062326,0.068881,0.009241,0.147558,-0.003359,0.139759,0.127842,0.104766,0.127359
20030731,0.059487,0.065629,0.058665,0.055756,0.051196,0.058819,0.23406,0.104291,0.094079,0.063134
20030831,0.066257,0.051562,0.095017,0.008977,0.033538,-0.040301,0.087997,0.056556,0.234098,0.047991
20030930,-0.020896,-0.063267,-0.043052,-0.019606,-0.071697,-0.036553,-0.106362,-0.099602,-0.013271,0.029802
20031031,0.359698,0.065183,0.07938,0.211711,0.11821,0.189106,0.068891,0.120374,0.117323,0.092934
20031130,-0.001304,0.019762,0.025421,0.068221,-0.007327,0.003078,-0.014562,-0.003896,0.045678,0.052624
20031231,0.04512,0.082762,0.021693,0.055432,0.055683,0.067863,0.136327,0.0615,0.092054,0.098217
20040131,0.130589,0.111816,0.065204,0.123977,0.126389,0.074263,0.116339,0.128073,0.148741,0.225322
20040229,0.049513,0.045384,0.08344,0.063911,0.081187,0.140797,0.101354,0.073065,0.055041,0.195726
20040331,-0.055466,-0.037262,-0.011327,-0.035406,-0.018704,-0.038719,-0.027037,-0.081917,-0.080618,-0.06003
20040430,0.023971,-0.082085,-0.002696,-0.076812,-0.03425,-0.050779,-0.024873,-0.008426,-0.076239,-0.078702
20040531,-0.025124,0.028634,0.03535,-0.014167,0.015527,0.054015,-0.001249,-0.04057,0.024218,0.004699
20040630,0.040263,0.108323,0.032029,0.033822,0.127654,0.081503,0.070394,0.064014,0.037019,0.126031
20040731,0.007452,-0.086416,-0.009884,0.010412,0.025702,-0.015476,0.027267,-0.014828,0.014758,-0.027759
20040831,0.044592,-0.011407,0.017354,0.035352,0.025496,-0.021676,-0.015828,0.035477,0.033642,0.113026
20040930,0.052094,0.033194,0.078021,0.026043,0.070233,0.127933,0.050754,0.081873,-0.000725,0.144895
20041031,-0.001376,-0.011793,-0.033152,-0.040209,0.002756,-0.042351,-0.017337,-0.037398,0.043111,-0.024411
20041130,0.138131,0.076249,0.058684,0.109039,0.094916,0.071964,0.195438,0.182428,0.106168,0.149827
20041231,0.034988,0.061808,0.007141,0.08422,0.028739,-0.031936,0.048208,0.03618,0.055778,0.074438
20050131,0.061733,0.101369,0.06604,0.008847,0.158367,0.014163,0.048806,-0.010075,0.067561,0.317526
20050228,0.010975,0.140071,0.00823,0.117215,0.109335,0.090967,0.035929,0.100506,0.124342,0.117291
20050331,-0.012885,-0.036947,-0.007354,-0.03195,-0.024441,-0.003435,0.006754,-0.007133,0.085506,0.100289
20050430,-0.036034,-0.082287,-0.060082,-0.007491,-0.060516,-0.032795,-0.030379,-0.05237,-0.03012,0.021258
20050531,0.114692,0.036944,0.037395,0.071382,0.049165,0.053707,0.048606,0.020125,0.093724,0.203373
20050630,0.057863,0.050427,0.031231,0.163174,0.079898,0.117229,0.144127,0.102607,0.11213,0.164156
20050731,0.070249,0.094875,0.116861,0.045922,0.117335,0.027879,0.03365,0.076061,0.19016,0.128528
20050831,0.076145,0.06104,0.106128,0.066873,0.089654,0.049226,0.127769,0.006667,0.102885,0.254328
20050930,0.126273,0.034088,0.016656,0.041515,0.043102,0.04266,0.114772,0.048563,0.011239,0.090557
20051031,-0.134835,-0.089539,0.015624,-0.095161,-0.09811,-0.077768,-0.083841,-0.045018,-0.076312,-0.132964
20051130,0.0556,0.04794,0.041034,0.027997,0.062496,0.055598,0.086931,0.069834,0.002971,0.10167
20051231,0.071813,0.027786,0.111182,0.049968,0.117689,0.037175,0.099723,0.126448,0.189725,0.103922
20060131,0.093225,0.051058,0.172552,0.05902,0.030375,0.154719,0.001193,0.022855,0.03062,-0.003955
20060228,0.082996,0.040147,-0.047085,0.068642,0.076958,-0.029754,0.091959,0.051915,0.005865,0.015391
20060331,0.13748,0.052799,0.098731,0.110914,0.01124,0.12957,0.060468,0.086496,0.082167,-3.2e-05
20060430,0.097254,-0.005305,0.068802,0.03305,-0.002361,0.036295,0.011146,-0.006055,-0.032237,-0.003099
20060531,-0.04226,-0.044302,-0.101927,-0.075597,0.030239,-0.076212,-0.086628,-0.093074,-0.049256,-0.03582
20060630,-0.043246,0.034364,0.000464,-0.034868,-0.023471,-0.01299,-0.004045,0.01583,0.033723,0.00974
