date,1 (small size),2,3,4,5,6,7,8,9,10 (large size)
19920531,0.338413,0.046718,0.033836,0.138938,0.017824,-0.013791,-0.001867,-0.016658,0.020738,0.032285
19920630,0.001759,0.008417,-0.085128,-0.099641,-0.041126,-0.04902,-0.091156,-0.105445,-0.105623,-0.118341
19920731,-0.026131,-0.025287,-0.050852,-0.027956,-0.077767,-0.062467,-0.092379,-0.111164,0.017405,-0.041362
19920831,-0.077849,-0.081508,-0.03031,-0.11414,-0.15023,-0.151497,-0.206631,-0.211236,-0.19293,-0.122371
19920930,-0.00675,-0.080782,-0.046976,-0.006699,-0.061581,0.018815,0.050834,0.065479,0.251652,0.030494
19921031,-0.048078,0.019316,0.163807,0.132126,-0.026459,0.027274,0.156677,0.140757,0.0791,0.042632
19921130,-0.159752,-0.087816,-0.055264,-0.030994,-0.017284,0.019591,-0.002329,-0.005327,0.032278,0.061091
19921231,0.195108,0.042926,-0.006934,0.015905,-0.018025,0.185522,0.036361,0.053721,-0.013084,0.041023
19930131,0.180395,0.112499,0.132102,0.268865,0.145252,0.064828,0.047806,0.060433,0.036401,0.023274
19930228,0.088344,0.347652,0.343286,0.192429,0.188036,0.302604,0.14597,0.020433,0.038508,0.022227
19930331,0.14866,0.218174,0.225437,0.105047,0.121855,0.022408,0.175083,0.074342,0.177699,0.090826
19930430,0.272763,0.361981,0.078936,0.301433,0.16075,0.192917,0.130707,0.114555,0.119776,0.034761
19930531,0.189566,-0.029452,0.185474,0.100755,0.075867,0.032801,0.06847,0.018956,-0.024485,-0.001704
19930630,0.107637,0.050148,-0.005018,-0.002709,-0.02066,0.08113,0.078544,0.077416,0.012275,0.013496
19930731,0.185176,0.16639,0.160708,0.124743,0.118542,0.116886,0.102166,0.126069,0.155857,0.07971
19930831,0.075207,0.176848,0.081057,0.108527,0.117711,0.087413,0.077174,0.187622,0.088278,0.059657
19930930,-0.076517,0.001034,-0.069125,-0.089142,0.0119,-0.04202,-0.055378,-0.092196,-0.098335,-0.017181
19931031,0.224492,0.083474,0.093991,0.188185,0.101597,0.083488,0.173814,0.145285,0.171802,0.1209
